slopeH,NADPH_flux,NAD_flux,Fd_flux,F_slip,F_yield
-0.1843109310931093,-4.6137304039461924e-05,2.2281141929259007e-05,7.565182652768954e-06,0.33646217266442885,13160.72972747155
-0.1843029302930293,-4.6172631527952035e-05,2.232056078277367e-05,7.597276989512736e-06,0.33586901160427163,13142.25039215084
-0.1842949294929493,-4.6235523669224676e-05,2.233998058498443e-05,7.616685833378156e-06,0.3356851066196123,13124.704761084346
-0.1842869286928693,-4.62371053941979e-05,2.238078998439974e-05,7.646488967560927e-06,0.3350046067535015,13112.280503846616
-0.1842789278927893,-4.629287870727694e-05,2.240894994631759e-05,7.671830731137419e-06,0.334655625983097,13093.519520421363
-0.18427092709270929,-4.635332156510685e-05,2.2443306291641818e-05,7.69864127492248e-06,0.33428851597507264,13072.70385935504
-0.18426292629262928,-4.6450233341488456e-05,2.2462153179692024e-05,7.720355217788466e-06,0.33419686118740966,13049.25254281336
-0.18425492549254927,-4.6493475878151e-05,2.249769999185247e-05,7.750770044889776e-06,0.3336825304692147,13030.683390658338
-0.18424692469246925,-4.648741031587633e-05,2.2528410273281452e-05,7.773819708845053e-06,0.33313134412547196,13022.589975929452
-0.18423892389238924,-4.6599889714116216e-05,2.2551971406326032e-05,7.799954236720197e-06,0.33300566733212067,12995.145018458918
-0.18423092309230923,-4.6658693364065584e-05,2.257927730164866e-05,7.82234795804193e-06,0.33273817448072146,12976.847460006735
-0.18422292229222922,-4.665709369078286e-05,2.2612151571177463e-05,7.849624548139644e-06,0.3321143753620057,12966.995009942868
-0.18421492149214921,-4.6777100791928206e-05,2.2644099884505664e-05,7.876372730253323e-06,0.33200071670428477,12937.01672546279
-0.1842069206920692,-4.6807745135879486e-05,2.2668079973975352e-05,7.902259749670293e-06,0.331549091910545,12923.555833869948
-0.1841989198919892,-4.68504972275241e-05,2.2693965532116778e-05,7.928210383312262e-06,0.3311444628268308,12907.777148140902
-0.1841909190919092,-4.689608519470312e-05,2.2731698850808613e-05,7.95575998879805e-06,0.3307063930884741,12889.331267952517
-0.1841829182918292,-4.695139807608939e-05,2.2759479423761775e-05,7.980229333570676e-06,0.33038447806563154,12871.48607811842
-0.1841749174917492,-4.7009865909330983e-05,2.278481366735363e-05,8.001441692551126e-06,0.33014785952037984,12854.111280679583
-0.18416691669166918,-4.7107618513564375e-05,2.28137331093059e-05,8.031321805379577e-06,0.32988549374620885,12828.296401154634
-0.18415891589158917,-4.712176186671968e-05,2.284111570860503e-05,8.055983855337345e-06,0.3293933391033233,12817.413400588179
-0.18415091509150916,-4.716029526719012e-05,2.2879810473774853e-05,8.083731729335852e-06,0.32892570085001566,12800.190471700203
-0.18414291429142915,-4.7234265167617195e-05,2.290226236612014e-05,8.109588935045764e-06,0.32865996693165467,12780.18699367601
-0.18413491349134914,-4.7279178886583395e-05,2.2940264298387802e-05,8.1341657092171e-06,0.3282879812703846,12762.654000410346
-0.18412691269126913,-4.736480393319198e-05,2.2962610836341213e-05,8.162399790068164e-06,0.32802172205125446,12740.506594529517
-0.18411891189118912,-4.738841678886274e-05,2.299950469275558e-05,8.187860470521002e-06,0.32754632820404567,12726.567590623561
-0.1841109110911091,-4.744778586029952e-05,2.30163060366273e-05,8.207326846809693e-06,0.32736388266979594,12711.096557917557
-0.1841029102910291,-4.7517214667891494e-05,2.304836286137757e-05,8.236354683166525e-06,0.3270076629217011,12690.044164198704
